0,1,2,3,4,5,6,7,8,9,10
bottled water,long life bakery product,root vegetables,mustard,,,,,,,
rolls/buns,specialty bar,,,,,,,,,
domestic eggs,canned beer,bottled water,waffles,,,,,,,
frozen vegetables,salty snack,,,,,,,,,
whipped/sour cream,instant coffee,,,,,,,,,
ham,yogurt,,,,,,,,,
UHT-milk,whole milk,newspapers,domestic eggs,,,,,,,
finished products,other vegetables,,,,,,,,,
yogurt,pastry,,,,,,,,,
specialty bar,soda,,,,,,,,,
pork,grapes,hygiene articles,,,,,,,,
tropical fruit,yogurt,bottled water,,,,,,,,
bottled water,sparkling wine,,,,,,,,,
fruit/vegetable juice,soda,,,,,,,,,
flour,sugar,,,,,,,,,
beef,shopping bags,,,,,,,,,
pip fruit,hard cheese,,,,,,,,,
root vegetables,root vegetables,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
soda,other vegetables,,,,,,,,,
tropical fruit,frozen vegetables,,,,,,,,,
photo/film,brown bread,,,,,,,,,
tropical fruit,bottled water,whipped/sour cream,,,,,,,,
sausage,beef,,,,,,,,,
berries,domestic eggs,,,,,,,,,
root vegetables,dog food,,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
photo/film,pip fruit,butter,liquor (appetizer),bottled beer,sweet spreads,,,,,
coffee,shopping bags,,,,,,,,,
other vegetables,sliced cheese,,,,,,,,,
pip fruit,ice cream,newspapers,pastry,,,,,,,
rolls/buns,specialty bar,,,,,,,,,
beef,berries,,,,,,,,,
root vegetables,margarine,,,,,,,,,
soda,other vegetables,,,,,,,,,
citrus fruit,newspapers,,,,,,,,,
rolls/buns,seasonal products,,,,,,,,,
fruit/vegetable juice,brown bread,,,,,,,,,
whole milk,ice cream,detergent,rolls/buns,,,,,,,
yogurt,frozen dessert,,,,,,,,,
turkey,long life bakery product,,,,,,,,,
frankfurter,fruit/vegetable juice,shopping bags,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
onions,rolls/buns,,,,,,,,,
pip fruit,candy,,,,,,,,,
meat,citrus fruit,pip fruit,other vegetables,,,,,,,
beef,dessert,,,,,,,,,
pork,berries,,,,,,,,,
chicken,yogurt,rolls/buns,,,,,,,,
nuts/prunes,coffee,,,,,,,,,
sausage,domestic eggs,sugar,,,,,,,,
house keeping products,butter milk,,,,,,,,,
grapes,rolls/buns,,,,,,,,,
yogurt,rolls/buns,,,,,,,,,
sausage,male cosmetics,,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
photo/film,white wine,other vegetables,brown bread,canned fish,margarine,sliced cheese,,,,
whole milk,root vegetables,,,,,,,,,
sausage,frozen vegetables,,,,,,,,,
ice cream,pork,,,,,,,,,
whole milk,soups,,,,,,,,,
root vegetables,canned beer,,,,,,,,,
sausage,rolls/buns,misc. beverages,processed cheese,,,,,,,
other vegetables,pip fruit,chocolate,,,,,,,,
curd,grapes,soups,whole milk,,,,,,,
citrus fruit,canned beer,waffles,chocolate,dish cleaner,,,,,,
whipped/sour cream,napkins,pickled vegetables,,,,,,,,
canned beer,misc. beverages,,,,,,,,,
root vegetables,nut snack,,,,,,,,,
whole milk,ice cream,,,,,,,,,
chicken,whole milk,,,,,,,,,
other vegetables,bottled water,baking powder,,,,,,,,
frozen chicken,dessert,,,,,,,,,
root vegetables,ice cream,rolls/buns,,,,,,,,
pudding powder,mustard,,,,,,,,,
white bread,coffee,,,,,,,,,
canned fish,fruit/vegetable juice,,,,,,,,,
soda,margarine,specialty chocolate,,,,,,,,
bottled beer,rolls/buns,ice cream,pastry,,,,,,,
ham,liquor (appetizer),,,,,,,,,
butter,pastry,,,,,,,,,
rolls/buns,shopping bags,cat food,,,,,,,,
frozen meals,whole milk,,,,,,,,,
chocolate,soda,,,,,,,,,
bottled water,berries,other vegetables,rolls/buns,,,,,,,
sausage,salty snack,,,,,,,,,
ham,berries,,,,,,,,,
hamburger meat,whole milk,whipped/sour cream,,,,,,,,
other vegetables,butter milk,,,,,,,,,
brown bread,domestic eggs,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
whole milk,whole milk,,,,,,,,,
rum,coffee,sliced cheese,,,,,,,,
whole milk,cat food,,,,,,,,,
chicken,white bread,,,,,,,,,
seasonal products,pickled vegetables,,,,,,,,,
bags,yogurt,soda,,,,,,,,
seasonal products,white bread,,,,,,,,,
beef,whole milk,cream cheese ,butter,,,,,,,
butter milk,sausage,UHT-milk,yogurt,canned beer,,,,,,
pastry,liqueur,,,,,,,,,
hamburger meat,baking powder,dessert,,,,,,,,
tropical fruit,coffee,softener,soda,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
whipped/sour cream,rolls/buns,soda,,,,,,,,
domestic eggs,rolls/buns,,,,,,,,,
pip fruit,coffee,,,,,,,,,
whole milk,pastry,,,,,,,,,
frozen meals,soda,,,,,,,,,
margarine,whole milk,berries,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
other vegetables,flour,,,,,,,,,
bottled water,soda,,,,,,,,,
pip fruit,nuts/prunes,bottled beer,,,,,,,,
popcorn,flour,,,,,,,,,
salt,fruit/vegetable juice,,,,,,,,,
brown bread,hygiene articles,rolls/buns,,,,,,,,
root vegetables,yogurt,,,,,,,,,
cream cheese ,salt,,,,,,,,,
yogurt,other vegetables,,,,,,,,,
beverages,shopping bags,,,,,,,,,
yogurt,root vegetables,,,,,,,,,
ham,dessert,yogurt,,,,,,,,
pork,soda,,,,,,,,,
beef,oil,,,,,,,,,
other vegetables,pastry,,,,,,,,,
other vegetables,soda,,,,,,,,,
dish cleaner,cling film/bags,,,,,,,,,
pork,yogurt,,,,,,,,,
root vegetables,specialty cheese,,,,,,,,,
chicken,frozen vegetables,,,,,,,,,
frozen vegetables,cream cheese ,,,,,,,,,
pip fruit,rolls/buns,,,,,,,,,
chicken,whole milk,,,,,,,,,
spread cheese,pork,,,,,,,,,
soda,pip fruit,,,,,,,,,
long life bakery product,chocolate,,,,,,,,,
ham,pickled vegetables,shopping bags,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
curd,pastry,,,,,,,,,
sausage,sauces,,,,,,,,,
white wine,newspapers,dog food,,,,,,,,
meat,fruit/vegetable juice,,,,,,,,,
hamburger meat,soda,pastry,newspapers,,,,,,,
canned beer,rolls/buns,baking powder,,,,,,,,
pork,pip fruit,,,,,,,,,
berries,whole milk,,,,,,,,,
meat,detergent,roll products ,,,,,,,,
whipped/sour cream,pickled vegetables,dish cleaner,,,,,,,,
canned beer,newspapers,newspapers,,,,,,,,
rolls/buns,processed cheese,,,,,,,,,
candy,frozen vegetables,,,,,,,,,
whole milk,flower (seeds),honey,,,,,,,,
onions,specialty cheese,canned fish,,,,,,,,
root vegetables,whipped/sour cream,,,,,,,,,
rolls/buns,pip fruit,,,,,,,,,
canned beer,brown bread,,,,,,,,,
beverages,canned beer,,,,,,,,,
citrus fruit,onions,salty snack,brown bread,,,,,,,
berries,candy,,,,,,,,,
soda,beverages,,,,,,,,,
other vegetables,canned beer,shopping bags,,,,,,,,
hamburger meat,other vegetables,,,,,,,,,
citrus fruit,chocolate,,,,,,,,,
tropical fruit,onions,,,,,,,,,
tropical fruit,root vegetables,,,,,,,,,
cling film/bags,napkins,,,,,,,,,
whipped/sour cream,chocolate,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
margarine,cream cheese ,,,,,,,,,
chocolate,yogurt,,,,,,,,,
pork,whole milk,,,,,,,,,
hard cheese,Instant food products,,,,,,,,,
misc. beverages,chocolate,,,,,,,,,
soda,margarine,,,,,,,,,
oil,butter,,,,,,,,,
pork,onions,,,,,,,,,
other vegetables,white bread,,,,,,,,,
coffee,shopping bags,,,,,,,,,
other vegetables,photo/film,newspapers,,,,,,,,
hamburger meat,domestic eggs,,,,,,,,,
root vegetables,tropical fruit,bottled water,white bread,processed cheese,yogurt,beverages,,,,
rolls/buns,rolls/buns,soft cheese,,,,,,,,
pork,shopping bags,hygiene articles,,,,,,,,
tropical fruit,flower (seeds),,,,,,,,,
whole milk,whole milk,,,,,,,,,
grapes,chicken,bottled beer,root vegetables,,,,,,,
citrus fruit,citrus fruit,,,,,,,,,
flour,pork,butter,shopping bags,hard cheese,,,,,,
rolls/buns,yogurt,,,,,,,,,
sausage,candy,,,,,,,,,
beef,packaged fruit/vegetables,,,,,,,,,
rolls/buns,brown bread,whole milk,pasta,curd,butter milk,,,,,
ham,beef,sliced cheese,butter milk,,,,,,,
finished products,domestic eggs,,,,,,,,,
root vegetables,hard cheese,pastry,,,,,,,,
rolls/buns,frozen vegetables,roll products ,,,,,,,,
cereals,soda,,,,,,,,,
other vegetables,rolls/buns,specialty cheese,,,,,,,,
beef,curd,,,,,,,,,
chicken,whole milk,specialty bar,,,,,,,,
fish,pot plants,coffee,,,,,,,,
canned beer,fruit/vegetable juice,,,,,,,,,
pip fruit,chocolate,brown bread,,,,,,,,
beef,shopping bags,,,,,,,,,
rolls/buns,salty snack,salty snack,,,,,,,,
other vegetables,napkins,,,,,,,,,
soda,salt,sauces,curd,sugar,margarine,,,,,
candles,rolls/buns,other vegetables,rolls/buns,,,,,,,
other vegetables,whole milk,bottled beer,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
sausage,sausage,canned beer,spices,,,,,,,
chicken,soda,,,,,,,,,
chicken,whole milk,,,,,,,,,
specialty bar,canned beer,white bread,newspapers,,,,,,,
tropical fruit,butter milk,,,,,,,,,
vinegar,whole milk,,,,,,,,,
white bread,butter,,,,,,,,,
sausage,yogurt,,,,,,,,,
frankfurter,whole milk,margarine,,,,,,,,
citrus fruit,pastry,other vegetables,pastry,,,,,,,
pastry,whipped/sour cream,pickled vegetables,,,,,,,,
berries,bottled water,napkins,,,,,,,,
sausage,dog food,bottled beer,bottled water,,,,,,,
root vegetables,coffee,domestic eggs,soda,,,,,,,
instant coffee,sparkling wine,,,,,,,,,
whole milk,white bread,,,,,,,,,
soda,brown bread,,,,,,,,,
pastry,butter,,,,,,,,,
root vegetables,napkins,,,,,,,,,
whole milk,shopping bags,yogurt,canned beer,,,,,,,
whole milk,whole milk,,,,,,,,,
root vegetables,butter,,,,,,,,,
sausage,newspapers,salty snack,soda,,,,,,,
pastry,margarine,pastry,pastry,,,,,,,
bottled beer,yogurt,soda,,,,,,,,
soda,snack products,whole milk,,,,,,,,
citrus fruit,misc. beverages,misc. beverages,,,,,,,,
onions,specialty vegetables,,,,,,,,,
soda,bottled water,,,,,,,,,
bottled beer,whole milk,,,,,,,,,
chicken,curd,,,,,,,,,
white bread,make up remover,,,,,,,,,
yogurt,ketchup,butter,,,,,,,,
curd cheese,pastry,,,,,,,,,
tropical fruit,canned beer,,,,,,,,,
pork,pork,frankfurter,frozen fish,waffles,napkins,rolls/buns,,,,
bottled beer,processed cheese,,,,,,,,,
curd,brown bread,,,,,,,,,
UHT-milk,frozen fish,,,,,,,,,
root vegetables,waffles,whipped/sour cream,,,,,,,,
frankfurter,sliced cheese,butter,,,,,,,,
frankfurter,bottled water,,,,,,,,,
yogurt,shopping bags,,,,,,,,,
rum,onions,,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
sausage,rolls/buns,,,,,,,,,
yogurt,hard cheese,,,,,,,,,
sliced cheese,soda,oil,syrup,,,,,,,
whole milk,white wine,UHT-milk,,,,,,,,
other vegetables,specialty bar,long life bakery product,,,,,,,,
long life bakery product,salty snack,,,,,,,,,
tropical fruit,soda,UHT-milk,,,,,,,,
coffee,bottled beer,,,,,,,,,
tropical fruit,liquor,,,,,,,,,
domestic eggs,brown bread,specialty chocolate,,,,,,,,
shopping bags,butter milk,,,,,,,,,
yogurt,other vegetables,,,,,,,,,
yogurt,brown bread,,,,,,,,,
specialty chocolate,shopping bags,,,,,,,,,
root vegetables,yogurt,,,,,,,,,
bottled water,shopping bags,waffles,,,,,,,,
citrus fruit,sausage,rolls/buns,frozen potato products,,,,,,,
salty snack,whole milk,,,,,,,,,
hamburger meat,yogurt,,,,,,,,,
soda,hard cheese,,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
rolls/buns,canned beer,,,,,,,,,
whipped/sour cream,rolls/buns,,,,,,,,,
sausage,sausage,chicken,chewing gum,newspapers,bottled water,pastry,yogurt,,,
white wine,spread cheese,,,,,,,,,
ice cream,specialty chocolate,semi-finished bread,,,,,,,,
pip fruit,citrus fruit,,,,,,,,,
soda,butter,,,,,,,,,
yogurt,pip fruit,,,,,,,,,
white wine,waffles,,,,,,,,,
whole milk,frozen meals,rolls/buns,,,,,,,,
chocolate marshmallow,yogurt,detergent,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
whole milk,beef,root vegetables,newspapers,,,,,,,
pip fruit,other vegetables,,,,,,,,,
pickled vegetables,other vegetables,,,,,,,,,
citrus fruit,beverages,,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
frankfurter,frozen vegetables,,,,,,,,,
beef,white wine,UHT-milk,butter milk,,,,,,,
bottled beer,other vegetables,root vegetables,cream cheese ,waffles,rolls/buns,,,,,
specialty bar,dog food,cream cheese ,,,,,,,,
red/blush wine,curd,,,,,,,,,
photo/film,bottled water,,,,,,,,,
other vegetables,sugar,,,,,,,,,
yogurt,condensed milk,,,,,,,,,
dessert,whole milk,,,,,,,,,
other vegetables,newspapers,chewing gum,dessert,,,,,,,
whole milk,chocolate,,,,,,,,,
bottled beer,oil,whole milk,dishes,,,,,,,
beef,onions,,,,,,,,,
beef,frankfurter,canned beer,pip fruit,brown bread,frozen vegetables,newspapers,misc. beverages,,,
citrus fruit,yogurt,salt,,,,,,,,
other vegetables,bottled beer,,,,,,,,,
pork,pip fruit,,,,,,,,,
sausage,tropical fruit,,,,,,,,,
beef,pastry,,,,,,,,,
finished products,dessert,,,,,,,,,
butter,whipped/sour cream,,,,,,,,,
curd,whipped/sour cream,,,,,,,,,
pork,rolls/buns,,,,,,,,,
canned beer,whipped/sour cream,,,,,,,,,
meat,canned beer,yogurt,,,,,,,,
fruit/vegetable juice,other vegetables,,,,,,,,,
photo/film,beverages,bottled beer,,,,,,,,
UHT-milk,beverages,,,,,,,,,
whole milk,whole milk,coffee,oil,,,,,,,
cat food,canned vegetables,,,,,,,,,
salty snack,butter milk,,,,,,,,,
citrus fruit,ham,onions,yogurt,pasta,newspapers,,,,,
bottled beer,specialty cheese,,,,,,,,,
soda,yogurt,,,,,,,,,
bottled beer,candy,,,,,,,,,
citrus fruit,chicken,bottled water,rolls/buns,,,,,,,
tropical fruit,dessert,white bread,bottled water,,,,,,,
long life bakery product,yogurt,,,,,,,,,
root vegetables,canned fish,,,,,,,,,
meat,canned beer,soda,,,,,,,,
long life bakery product,brown bread,popcorn,,,,,,,,
UHT-milk,yogurt,,,,,,,,,
spread cheese,cream cheese ,shopping bags,,,,,,,,
tropical fruit,coffee,whole milk,,,,,,,,
rolls/buns,pip fruit,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
other vegetables,UHT-milk,,,,,,,,,
other vegetables,yogurt,,,,,,,,,
pastry,cream cheese ,,,,,,,,,
meat,whole milk,whipped/sour cream,,,,,,,,
pip fruit,liver loaf,root vegetables,rolls/buns,mayonnaise,curd,root vegetables,hard cheese,chocolate,,
other vegetables,rolls/buns,,,,,,,,,
zwieback,rice,,,,,,,,,
cat food,domestic eggs,,,,,,,,,
pip fruit,frozen potato products,,,,,,,,,
beef,shopping bags,pickled vegetables,,,,,,,,
chewing gum,curd,yogurt,,,,,,,,
hard cheese,whole milk,,,,,,,,,
sausage,finished products,whole milk,yogurt,pastry,sliced cheese,onions,chewing gum,,,
root vegetables,pastry,,,,,,,,,
sausage,butter,cream cheese ,,,,,,,,
sausage,packaged fruit/vegetables,,,,,,,,,
citrus fruit,beef,,,,,,,,,
cat food,butter,,,,,,,,,
beverages,newspapers,,,,,,,,,
whole milk,canned beer,cat food,,,,,,,,
sausage,UHT-milk,,,,,,,,,
frankfurter,hard cheese,,,,,,,,,
pet care,frozen vegetables,spices,,,,,,,,
frozen vegetables,flower (seeds),,,,,,,,,
canned beer,detergent,root vegetables,root vegetables,butter milk,,,,,,
ice cream,grapes,,,,,,,,,
sausage,rolls/buns,,,,,,,,,
pip fruit,sugar,,,,,,,,,
tropical fruit,zwieback,,,,,,,,,
soda,soft cheese,,,,,,,,,
bottled beer,frozen vegetables,,,,,,,,,
chocolate,oil,domestic eggs,fruit/vegetable juice,frozen vegetables,rolls/buns,,,,,
whole milk,cream cheese ,,,,,,,,,
frankfurter,red/blush wine,,,,,,,,,
root vegetables,onions,,,,,,,,,
oil,cream cheese ,white bread,,,,,,,,
meat,coffee,,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
whipped/sour cream,brown bread,sparkling wine,,,,,,,,
whole milk,napkins,artif. sweetener,,,,,,,,
domestic eggs,napkins,,,,,,,,,
finished products,yogurt,,,,,,,,,
pip fruit,meat,frozen vegetables,bottled water,,,,,,,
other vegetables,bottled beer,,,,,,,,,
specialty bar,shopping bags,,,,,,,,,
curd,whole milk,bottled water,,,,,,,,
whipped/sour cream,fruit/vegetable juice,,,,,,,,,
citrus fruit,cling film/bags,fruit/vegetable juice,,,,,,,,
tropical fruit,curd,,,,,,,,,
onions,bottled water,sliced cheese,,,,,,,,
grapes,coffee,,,,,,,,,
UHT-milk,bottled water,,,,,,,,,
butter milk,bottled beer,zwieback,,,,,,,,
yogurt,ice cream,,,,,,,,,
rolls/buns,butter milk,,,,,,,,,
soups,bottled water,,,,,,,,,
pot plants,pastry,,,,,,,,,
tropical fruit,grapes,,,,,,,,,
rolls/buns,frozen vegetables,,,,,,,,,
pork,other vegetables,,,,,,,,,
rolls/buns,margarine,soda,,,,,,,,
bottled water,chicken,other vegetables,ketchup,,,,,,,
root vegetables,frozen vegetables,,,,,,,,,
sweet spreads,bottled beer,,,,,,,,,
pork,whole milk,napkins,,,,,,,,
rolls/buns,grapes,potato products,,,,,,,,
bottled water,rolls/buns,,,,,,,,,
berries,white wine,,,,,,,,,
canned fruit,whipped/sour cream,,,,,,,,,
herbs,dessert,yogurt,,,,,,,,
bottled beer,beef,domestic eggs,whipped/sour cream,shopping bags,newspapers,,,,,
whipped/sour cream,red/blush wine,,,,,,,,,
pip fruit,candy,,,,,,,,,
pork,beverages,dishes,,,,,,,,
whole milk,pasta,whipped/sour cream,,,,,,,,
napkins,beef,brown bread,,,,,,,,
rolls/buns,nuts/prunes,pastry,fruit/vegetable juice,,,,,,,
soda,fruit/vegetable juice,,,,,,,,,
whipped/sour cream,soda,,,,,,,,,
canned beer,newspapers,,,,,,,,,
whipped/sour cream,candy,butter,,,,,,,,
whole milk,frozen vegetables,soda,UHT-milk,,,,,,,
bottled water,mustard,,,,,,,,,
pork,salty snack,,,,,,,,,
frozen meals,rolls/buns,canned beer,coffee,soda,,,,,,
sausage,white bread,,,,,,,,,
canned beer,other vegetables,,,,,,,,,
dessert,whole milk,,,,,,,,,
tropical fruit,ice cream,butter milk,domestic eggs,,,,,,,
root vegetables,newspapers,,,,,,,,,
sausage,shopping bags,,,,,,,,,
bottled beer,yogurt,butter milk,,,,,,,,
rolls/buns,whole milk,,,,,,,,,
whole milk,domestic eggs,,,,,,,,,
root vegetables,Instant food products,,,,,,,,,
bottled water,shopping bags,,,,,,,,,
soap,brown bread,,,,,,,,,
hamburger meat,other vegetables,chocolate marshmallow,,,,,,,,
citrus fruit,white bread,,,,,,,,,
domestic eggs,rolls/buns,,,,,,,,,
tropical fruit,whole milk,margarine,bottled beer,,,,,,,
white wine,frozen potato products,,,,,,,,,
pastry,hard cheese,,,,,,,,,
fruit/vegetable juice,candy,hygiene articles,,,,,,,,
ham,whole milk,pastry,herbs,herbs,newspapers,chewing gum,whole milk,,,
specialty chocolate,rolls/buns,,,,,,,,,
rolls/buns,cream cheese ,,,,,,,,,
frankfurter,pork,pastry,canned vegetables,,,,,,,
whole milk,cream cheese ,,,,,,,,,
pastry,yogurt,,,,,,,,,
yogurt,whole milk,,,,,,,,,
frankfurter,rolls/buns,,,,,,,,,
soda,shopping bags,,,,,,,,,
rolls/buns,soda,chocolate,,,,,,,,
tropical fruit,cream cheese ,,,,,,,,,
napkins,rolls/buns,,,,,,,,,
frozen vegetables,fruit/vegetable juice,,,,,,,,,
canned beer,ham,bottled water,domestic eggs,,,,,,,
sausage,whole milk,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
frankfurter,canned beer,,,,,,,,,
whole milk,white bread,,,,,,,,,
sausage,white bread,,,,,,,,,
pip fruit,turkey,,,,,,,,,
liquor,other vegetables,onions,female sanitary products,,,,,,,
frankfurter,yogurt,other vegetables,herbs,male cosmetics,,,,,,
berries,curd,,,,,,,,,
root vegetables,cream cheese ,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
newspapers,rolls/buns,,,,,,,,,
rolls/buns,margarine,,,,,,,,,
pork,chicken,other vegetables,curd,hard cheese,,,,,,
sausage,UHT-milk,,,,,,,,,
citrus fruit,pastry,,,,,,,,,
frankfurter,bottled water,,,,,,,,,
whole milk,citrus fruit,napkins,,,,,,,,
tropical fruit,chocolate,,,,,,,,,
specialty bar,condensed milk,,,,,,,,,
rolls/buns,misc. beverages,,,,,,,,,
grapes,other vegetables,,,,,,,,,
soda,dishes,,,,,,,,,
meat,onions,whole milk,whole milk,,,,,,,
whipped/sour cream,yogurt,candy,,,,,,,,
sausage,bottled beer,,,,,,,,,
hamburger meat,bottled water,,,,,,,,,
white wine,chocolate marshmallow,,,,,,,,,
soda,chocolate,,,,,,,,,
frankfurter,domestic eggs,,,,,,,,,
soft cheese,other vegetables,,,,,,,,,
canned beer,baking powder,,,,,,,,,
UHT-milk,soda,,,,,,,,,
frozen meals,newspapers,,,,,,,,,
soda,yogurt,sliced cheese,,,,,,,,
bottled beer,newspapers,,,,,,,,,
sausage,whole milk,rolls/buns,bottled beer,,,,,,,
berries,canned fish,,,,,,,,,
pork,turkey,pot plants,whole milk,soda,dishes,,,,,
beef,canned beer,,,,,,,,,
pastry,root vegetables,,,,,,,,,
whole milk,whole milk,,,,,,,,,
other vegetables,frozen vegetables,,,,,,,,,
cake bar,whole milk,,,,,,,,,
canned beer,sliced cheese,cake bar,,,,,,,,
other vegetables,mustard,soups,,,,,,,,
beef,butter,,,,,,,,,
whole milk,root vegetables,,,,,,,,,
UHT-milk,tropical fruit,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
beef,hamburger meat,,,,,,,,,
chicken,yogurt,waffles,,,,,,,,
UHT-milk,rolls/buns,,,,,,,,,
other vegetables,soda,fruit/vegetable juice,,,,,,,,
coffee,soda,,,,,,,,,
yogurt,coffee,,,,,,,,,
beef,roll products ,root vegetables,chicken,waffles,male cosmetics,grapes,brown bread,,,
curd cheese,sausage,bottled water,napkins,,,,,,,
tropical fruit,bottled beer,domestic eggs,rolls/buns,long life bakery product,other vegetables,skin care,,,,
shopping bags,long life bakery product,,,,,,,,,
meat,butter milk,,,,,,,,,
beef,root vegetables,,,,,,,,,
root vegetables,pastry,,,,,,,,,
other vegetables,spread cheese,,,,,,,,,
other vegetables,whole milk,UHT-milk,other vegetables,frozen meals,whole milk,salty snack,,,,
frankfurter,waffles,,,,,,,,,
tropical fruit,soda,,,,,,,,,
chicken,onions,,,,,,,,,
yogurt,newspapers,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
pot plants,frozen potato products,,,,,,,,,
butter,specialty chocolate,,,,,,,,,
frankfurter,dessert,,,,,,,,,
tropical fruit,butter,,,,,,,,,
hamburger meat,tropical fruit,cat food,whole milk,artif. sweetener,packaged fruit/vegetables,,,,,
cream cheese ,frozen vegetables,pastry,bottled beer,,,,,,,
roll products ,canned vegetables,,,,,,,,,
whole milk,seasonal products,,,,,,,,,
frozen vegetables,liquor (appetizer),,,,,,,,,
turkey,root vegetables,,,,,,,,,
chocolate,herbs,chocolate,,,,,,,,
grapes,root vegetables,,,,,,,,,
seasonal products,pot plants,whole milk,dental care,,,,,,,
cereals,bottled water,,,,,,,,,
chocolate,whole milk,,,,,,,,,
whole milk,whole milk,,,,,,,,,
fruit/vegetable juice,berries,,,,,,,,,
root vegetables,other vegetables,,,,,,,,,
whole milk,yogurt,,,,,,,,,
curd,grapes,curd,shopping bags,,,,,,,
pastry,whole milk,,,,,,,,,
onions,brown bread,domestic eggs,,,,,,,,
hard cheese,rolls/buns,,,,,,,,,
whipped/sour cream,rolls/buns,,,,,,,,,
tropical fruit,detergent,,,,,,,,,
pork,shopping bags,,,,,,,,,
pork,cat food,,,,,,,,,
yogurt,herbs,pastry,whipped/sour cream,canned fish,,,,,,
pastry,bottled beer,,,,,,,,,
other vegetables,salty snack,,,,,,,,,
detergent,fruit/vegetable juice,,,,,,,,,
whole milk,margarine,,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
soda,beef,bottled beer,soda,,,,,,,
sugar,waffles,soda,organic products,,,,,,,
rolls/buns,margarine,,,,,,,,,
tropical fruit,pastry,salty snack,,,,,,,,
rolls/buns,brown bread,,,,,,,,,
tropical fruit,red/blush wine,,,,,,,,,
root vegetables,root vegetables,,,,,,,,,
dessert,soda,pastry,whole milk,butter,rolls/buns,shopping bags,newspapers,,,
spread cheese,soda,,,,,,,,,
whole milk,shopping bags,,,,,,,,,
canned beer,root vegetables,,,,,,,,,
whole milk,salty snack,margarine,,,,,,,,
other vegetables,shopping bags,salty snack,,,,,,,,
beef,chocolate,pastry,,,,,,,,
frankfurter,domestic eggs,,,,,,,,,
pork,root vegetables,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
newspapers,pastry,,,,,,,,,
bottled beer,canned fish,,,,,,,,,
mayonnaise,decalcifier,,,,,,,,,
pork,sausage,whole milk,frozen vegetables,,,,,,,
pip fruit,other vegetables,,,,,,,,,
tropical fruit,other vegetables,butter,rolls/buns,coffee,pastry,,,,,
ham,brown bread,,,,,,,,,
frozen potato products,margarine,,,,,,,,,
other vegetables,bottled beer,,,,,,,,,
other vegetables,root vegetables,,,,,,,,,
whole milk,cocoa drinks,,,,,,,,,
tropical fruit,bottled water,,,,,,,,,
bottled water,other vegetables,,,,,,,,,
citrus fruit,coffee,,,,,,,,,
long life bakery product,canned vegetables,,,,,,,,,
pip fruit,curd,canned beer,pork,bottled beer,frozen dessert,dessert,bottled water,,,
frankfurter,canned beer,,,,,,,,,
whipped/sour cream,canned beer,,,,,,,,,
whole milk,curd,,,,,,,,,
whole milk,frozen vegetables,,,,,,,,,
pet care,rolls/buns,,,,,,,,,
meat,vinegar,,,,,,,,,
brown bread,yogurt,,,,,,,,,
coffee,oil,,,,,,,,,
specialty bar,whole milk,,,,,,,,,
sausage,chocolate,,,,,,,,,
liquor (appetizer),liquor,,,,,,,,,
liquor,bottled water,,,,,,,,,
bottled beer,whipped/sour cream,,,,,,,,,
chocolate,rolls/buns,,,,,,,,,
turkey,shopping bags,whole milk,,,,,,,,
bottled water,dishes,,,,,,,,,
pork,cereals,,,,,,,,,
UHT-milk,coffee,,,,,,,,,
rolls/buns,whipped/sour cream,waffles,rolls/buns,margarine,soda,salty snack,soda,canned beer,,
whole milk,UHT-milk,canned beer,whole milk,coffee,house keeping products,other vegetables,pip fruit,,,
other vegetables,whole milk,,,,,,,,,
sausage,beverages,,,,,,,,,
canned beer,specialty chocolate,other vegetables,cream cheese ,,,,,,,
citrus fruit,chocolate,,,,,,,,,
UHT-milk,citrus fruit,,,,,,,,,
ice cream,grapes,,,,,,,,,
dog food,pork,,,,,,,,,
other vegetables,frankfurter,other vegetables,newspapers,spread cheese,,,,,,
pork,pork,margarine,other vegetables,,,,,,,
yogurt,butter,,,,,,,,,
frankfurter,citrus fruit,bottled water,fruit/vegetable juice,,,,,,,
butter milk,rolls/buns,,,,,,,,,
bottled water,fruit/vegetable juice,,,,,,,,,
